NOC Code,Occupational Group,NOC Skill Level,Year,Nominees
11,Legislators,0,01/01/2012 12:00:00 AM,0
12,Senior government managers and officials,0,01/01/2012 12:00:00 AM,0
13,"Senior managers - financial, communications and other business services",0,01/01/2012 12:00:00 AM,0
14,"Senior managers - health, education, social and community services and membership organizations",0,01/01/2012 12:00:00 AM,0
15,"Senior managers - trade, broadcasting and other services, n.e.c.",0,01/01/2012 12:00:00 AM,0
16,"Senior managers - construction, transportation, production and utilities",0,01/01/2012 12:00:00 AM,1
111,Financial managers,0,01/01/2012 12:00:00 AM,4
112,Human resources managers,0,01/01/2012 12:00:00 AM,0
113,Purchasing managers,0,01/01/2012 12:00:00 AM,0
114,Other administrative services managers,0,01/01/2012 12:00:00 AM,3
121,"Insurance, real estate and financial brokerage managers",0,01/01/2012 12:00:00 AM,1
122,"Banking, credit and other investment managers",0,01/01/2012 12:00:00 AM,2
124,"Advertising, marketing and public relations managers",0,01/01/2012 12:00:00 AM,4
125,Other business services managers,0,01/01/2012 12:00:00 AM,0
131,Telecommunication carriers managers,0,01/01/2012 12:00:00 AM,1
132,Postal and courier services managers,0,01/01/2012 12:00:00 AM,0
211,Engineering managers,0,01/01/2012 12:00:00 AM,4
212,Architecture and science managers,0,01/01/2012 12:00:00 AM,0
213,Computer and information systems managers,0,01/01/2012 12:00:00 AM,3
311,Managers in health care,0,01/01/2012 12:00:00 AM,0
411,Government managers - health and social policy development and program administration,0,01/01/2012 12:00:00 AM,0
412,"Government managers - economic analysis, policy development and program administration",0,01/01/2012 12:00:00 AM,0
413,Government managers - education policy development and program administration,0,01/01/2012 12:00:00 AM,0
414,Other managers in public administration,0,01/01/2012 12:00:00 AM,1
421,Administrators - post-secondary education and vocational training,0,01/01/2012 12:00:00 AM,0
422,School principals and administrators of elementary and secondary education,0,01/01/2012 12:00:00 AM,0
423,"Managers in social, community and correctional services",0,01/01/2012 12:00:00 AM,1
431,Commissioned police officers,0,01/01/2012 12:00:00 AM,1
432,Fire chiefs and senior firefighting officers,0,01/01/2012 12:00:00 AM,0
433,Commissioned officers of the Canadian Forces,0,01/01/2012 12:00:00 AM,0
511,"Library, archive, museum and art gallery managers",0,01/01/2012 12:00:00 AM,0
