0,18,Jamaica
1,23,Jamaica
2,17,Jamaica
3,43,Jamaica
4,42.5,Jamaica
5,49.4,Jamaica
6,56.3,Jamaica
0,144,India
1,107,India
2,86,India
3,389,India
4,360.0,India
5,431.4,India
6,502.8,India
0,87,China People's Republic of
1,68,China People's Republic of
2,102,China People's Republic of
3,241,China People's Republic of
4,248.5,China People's Republic of
5,298.1,China People's Republic of
6,347.7,China People's Republic of
0,14,United States
1,15,United States
2,10,United States
3,20,United States
4,18.0,United States
5,19.3,United States
6,20.6,United States
0,16,Korea Republic of
1,14,Korea Republic of
2,16,Korea Republic of
3,31,Korea Republic of
4,31.0,Korea Republic of
5,35.7,Korea Republic of
6,40.4,Korea Republic of
0,9,Nigeria
1,9,Nigeria
2,10,Nigeria
3,56,Nigeria
4,56.5,Nigeria
5,70.7,Nigeria
6,84.9,Nigeria
0,9,Iran
1,6,Iran
2,6,Iran
3,13,Iran
4,11.5,Iran
5,12.7,Iran
6,13.9,Iran
0,141,Philippines
1,146,Philippines
2,170,Philippines
3,193,Philippines
4,207.5,Philippines
5,225.5,Philippines
6,243.5,Philippines
0,69,Israel
1,67,Israel
2,80,Israel
3,10,Israel
4,15.5,Israel
5,-0.9,Israel
6,-17.3,Israel
0,12,United Kingdom
1,7,United Kingdom
2,10,United Kingdom
3,30,United Kingdom
4,29.0,United Kingdom
5,34.7,United Kingdom
6,40.4,United Kingdom
